variable	mse_increase
155	0.422086952951795
36	0.330112158909377
161	0.278228153764537
177	0.188830043411207
7	0.114912990626658
43	0.105549393161273
5	0.0859596629331731
49	0.0797022838004287
29	0.0586946073344751
74	0.052770349218404
24	0.0505815607629236
2	0.0499448612006754
125	0.0474674997819938
111	0.0456760750591133
115	0.0444503117697464
148	0.0439258334974511
179	0.0410489583747662
170	0.0403580640176902
69	0.039339608365094
3	0.039317807851108
84	0.0389041374055294
105	0.0335803144742055
100	0.0325365924888557
47	0.0317437432581522
14	0.0292039133509445
199	0.0291217034400607
141	0.0284968131230217
45	0.0278596296651583
122	0.0278497174768365
107	0.0276379944746822
185	0.0275671251585324
127	0.0250487320057726
119	0.0248836707547582
151	0.0244641048048357
120	0.0226036869239303
137	0.0217259023013107
8	0.020739044943176
146	0.0206752945786932
76	0.0206211736786321
104	0.0185441439345475
40	0.0170591851297778
110	0.0166928470101967
1	0.0149062264255808
88	0.0146505424960513
187	0.014574362065605
counts	0.014116861829229
48	0.013955796657722
16	0.0132966221016882
59	0.0131810007577146
147	0.012889718585505
108	0.0122253246296524
56	0.0117966083565579
216	0.0116129459940966
159	0.0113506095928653
12	0.0106039664609093
63	0.00999556843683548
70	0.00941124579500775
212	0.00916393287442865
81	0.00867968488951136
139	0.00784365708200881
123	0.00783241897978996
90	0.00742964955716511
42	0.00730763798383943
145	0.00723251821981385
93	0.00720968745133266
46	0.00716327953775314
22	0.00705444575629218
202	0.00689119815515415
82	0.00680138744093888
6	0.00642799119389568
41	0.00602087577711889
87	0.00576167178239333
28	0.00557385871583539
138	0.0054496965898216
101	0.00514636439777812
99	0.00493895315218422
102	0.00421364836241221
18	0.00410794360044385
113	0.00388764283605348
165	0.0037908798415707
61	0.00361346210732121
96	0.00359695551728242
89	0.00325076546708199
62	0.0031818156690252
97	0.00281966568644144
30	0.00280795084948064
57	0.00269557516780677
60	0.00264776409725785
4	0.00243004462994103
15	0.00234979199596151
19	0.00222383013742424
83	0.00216472679934777
214	0.00213703451173531
167	0.00204736601528516
77	0.00203221366000857
73	0.00202558893938149
195	0.00195602842845925
51	0.00181207542631417
54	0.00180896968330518
180	0.0017531725263773
17	0.00154295117784205
190	0.0014618713590423
130	0.00127119933876654
171	0.00123721129890064
149	0.00122691569948132
80	0.00120745192161121
142	0.00117709735417581
169	0.00116084867611569
11	0.00106432506803068
136	0.000997242806746398
66	0.000814614943991519
173	0.000770010694738435
67	0.000762459458960025
98	0.000516472255307522
31	0.000495327715111429
20	0.000479394985954856
162	0.000363001474119866
71	0.000333428570272707
133	0.000286688568607132
166	0.000254389704811338
129	0.00025389706093745
79	0.000240457658570726
35	0.000176278549727689
176	0.000174472189861459
9	0.000160094056762386
92	0.000138604334380664
143	0.000103936299481035
85	3.29971325154261e-05
26	2.90567311896868e-05
53	2.45081405083863e-05
37	1.64326174968226e-05
94	2.33137787837303e-06
64	1.02321005193333e-06
103	2.53782733078416e-07
172	1.84356563408518e-07
121	0
50	-1.33204569902279e-05
210	-1.67768179486594e-05
160	-2.68229019229081e-05
95	-5.28183761610413e-05
33	-5.66453130273415e-05
68	-9.27368743649924e-05
109	-0.000235533420239735
158	-0.000261251048043505
181	-0.000265132928468186
112	-0.000303279237265632
55	-0.000551071277138618
21	-0.000576891339186074
153	-0.000611493431309796
58	-0.000693392652523721
217	-0.000754083607302567
52	-0.000834811027714045
175	-0.000842296214830561
44	-0.000935890472731539
23	-0.00119951313969453
72	-0.00131151621548058
222	-0.00148098470064712
86	-0.00233865015322595
